Order.ID,Ship.Date,Ship.Mode,Shipping.Cost
CA-2011-130813,2011-01-09 00:00:00.000,Second Class,4.37
CA-2011-148614,2011-01-26 00:00:00.000,Standard Class,0.94
CA-2011-118962,2011-08-09 00:00:00.000,Standard Class,1.81
CA-2011-118962,2011-08-09 00:00:00.000,Standard Class,4.59
CA-2011-146969,2011-10-03 00:00:00.000,Standard Class,1.32
CA-2011-117317,2011-10-19 00:00:00.000,Same Day,2.39
CA-2011-125829,2011-11-11 00:00:00.000,Standard Class,1.15
CA-2011-151295,2011-11-16 00:00:00.000,Standard Class,0.92
CA-2011-135090,2011-11-26 00:00:00.000,Standard Class,6.98
CA-2011-133830,2011-12-10 00:00:00.000,Standard Class,1.99
CA-2011-113579,2011-12-15 00:00:00.000,Second Class,8.53
CA-2012-116092,2012-02-18 00:00:00.000,Second Class,1.0
CA-2012-116092,2012-02-18 00:00:00.000,Second Class,0.06
CA-2012-121776,2012-02-21 00:00:00.000,Standard Class,4.04
CA-2012-131534,2012-04-02 00:00:00.000,Standard Class,2.25
US-2012-136987,2012-04-14 00:00:00.000,Second Class,1.59
CA-2012-121965,2012-06-23 00:00:00.000,Standard Class,0.52
CA-2012-112319,2012-09-05 00:00:00.000,Standard Class,7.98
CA-2012-137708,2012-11-25 00:00:00.000,Second Class,3.9
CA-2012-137708,2012-11-25 00:00:00.000,Second Class,6.15
CA-2012-105347,2012-11-28 00:00:00.000,Standard Class,6.98
CA-2012-153416,2012-11-29 00:00:00.000,Standard Class,1.68
CA-2012-135545,2012-11-30 00:00:00.000,Standard Class,4.93
CA-2012-158918,2012-12-25 00:00:00.000,Second Class,1.31
CA-2012-135580,2013-01-03 00:00:00.000,Standard Class,6.36
US-2013-119270,2013-03-17 00:00:00.000,Standard Class,1.3
CA-2013-131380,2013-04-01 00:00:00.000,Second Class,1.82
CA-2013-130477,2013-04-13 00:00:00.000,Standard Class,2.92
CA-2013-130477,2013-04-13 00:00:00.000,Standard Class,2.28
CA-2013-163594,2013-04-15 00:00:00.000,First Class,1.77
US-2013-115819,2013-04-25 00:00:00.000,Second Class,3.87
CA-2013-111696,2013-05-11 00:00:00.000,First Class,3.42
CA-2013-162733,2013-05-13 00:00:00.000,First Class,0.41
CA-2013-133144,2013-05-22 00:00:00.000,Second Class,1.82
CA-2013-136994,2013-06-03 00:00:00.000,Standard Class,0.88
CA-2013-134803,2013-06-04 00:00:00.000,Standard Class,17.93
CA-2013-113243,2013-06-16 00:00:00.000,Standard Class,1.91
CA-2013-148593,2013-06-19 00:00:00.000,Second Class,1.14
CA-2013-123512,2013-06-20 00:00:00.000,First Class,74.66
CA-2013-130029,2013-07-07 00:00:00.000,First Class,1.62
CA-2013-135265,2013-07-10 00:00:00.000,Second Class,10.36
CA-2013-136021,2013-08-19 00:00:00.000,Standard Class,2.15
CA-2013-167241,2013-08-23 00:00:00.000,Standard Class,4.05
US-2013-101497,2013-10-02 00:00:00.000,Second Class,1.89
CA-2013-155033,2013-10-13 00:00:00.000,Standard Class,1.61
US-2013-162026,2013-10-09 00:00:00.000,Same Day,3.0
CA-2013-109365,2013-11-09 00:00:00.000,Standard Class,22.15
CA-2013-109365,2013-11-09 00:00:00.000,Standard Class,5.57
CA-2013-109365,2013-11-09 00:00:00.000,Standard Class,1.3
CA-2013-158694,2013-11-14 00:00:00.000,Second Class,10.83
CA-2013-158694,2013-11-14 00:00:00.000,Second Class,8.68
CA-2014-149076,2014-01-20 00:00:00.000,Standard Class,9.12
